Crew ID,Flight ID,Crew Members Name,Airline,DepartureDateTime,ArrivalDateTime
C004,F177,Reem Al-Suwaidi,Flyadeal Airlines,4/2/2024 1:05,4/2/2024 8:05
C005,F177,Abdullah Al-Rashid,Flyadeal Airlines,4/2/2024 1:05,4/2/2024 8:05
C006,F177,Sara Al-Subaie,Flyadeal Airlines,4/2/2024 1:05,4/2/2024 8:05
C007,F198,Zayd Al-Harbi,Saudi Airlines,4/2/2024 3:13,4/2/2024 17:13
C008,F198,Laila Al-Mutairi,Saudi Airlines,4/2/2024 3:13,4/2/2024 17:13
C009,F198,Majed Al-Qutub,Saudi Airlines,4/2/2024 3:13,4/2/2024 17:13
C010,F104,Yasmin Al-Sudairy,Saudi Airlines,4/2/2024 17:41,4/3/2024 7:41
C011,F104,Khalid Al-Nashwan,Saudi Airlines,4/2/2024 17:41,4/3/2024 7:41
C012,F104,Mona Al-Saadi,Saudi Airlines,4/2/2024 17:41,4/3/2024 7:41
C013,F141,Saeed Al-Kahtani,Saudi Airlines,4/3/2024 13:35,4/3/2024 22:35
C014,F141,Dima Al-Ahmad,Saudi Airlines,4/3/2024 13:35,4/3/2024 22:35
C015,F141,Tariq Al-Johani,Saudi Airlines,4/3/2024 13:35,4/3/2024 22:35
C016,F174,Rania Al-Ghamdi,Flyadeal Airlines,4/5/2024 8:18,4/5/2024 15:18
C017,F174,Anas Al-Shahrani,Flyadeal Airlines,4/5/2024 8:18,4/5/2024 15:18
C018,F174,Samira Al-Salem,Flyadeal Airlines,4/5/2024 8:18,4/5/2024 15:18
C019,F118,Nabil Al-Qurashi,Riyadh Air,4/7/2024 15:47,4/8/2024 0:47
C020,F118,Hala Al-Turki,Riyadh Air,4/7/2024 15:47,4/8/2024 0:47
C021,F118,Zain Al-Otaibi,Riyadh Air,4/7/2024 15:47,4/8/2024 0:47
C022,F107,Iman Al-Nasser,Flynas Airlines,4/7/2024 17:25,4/8/2024 1:25
C023,F107,Adel Al-Muhanna,Flynas Airlines,4/7/2024 17:25,4/8/2024 1:25
C024,F107,Nadia Al-Fayez,Flynas Airlines,4/7/2024 17:25,4/8/2024 1:25
C025,F135,Bilal Al-Ajmi,Saudi Airlines,4/8/2024 10:26,4/8/2024 18:26
C026,F135,Fadia Al-Sabah,Saudi Airlines,4/8/2024 10:26,4/8/2024 18:26
C027,F135,Yara Al-Faris,Saudi Airlines,4/8/2024 10:26,4/8/2024 18:26
C028,F110,Jamal Al-Mansour,Flyadeal Airlines,4/10/2024 14:15,4/10/2024 16:15
C029,F110,Sawsan Al-Zahrani,Flyadeal Airlines,4/10/2024 14:15,4/10/2024 16:15
C030,F110,Ibrahim Al-Khaldi,Flyadeal Airlines,4/10/2024 14:15,4/10/2024 16:15
C001,F106,Fahad Al-Shammari,Flyadeal Airlines,4/11/2024 13:34,4/11/2024 14:34
C002,F106,Noura Al-Dosari,Flyadeal Airlines,4/11/2024 13:34,4/11/2024 14:34
C003,F106,Omar Al-Fahad,Flyadeal Airlines,4/11/2024 13:34,4/11/2024 14:34
C004,F115,Reem Al-Suwaidi,Flynas Airlines,4/13/2024 13:15,4/13/2024 20:15
C005,F115,Abdullah Al-Rashid,Flynas Airlines,4/13/2024 13:15,4/13/2024 20:15
C006,F115,Sara Al-Subaie,Flynas Airlines,4/13/2024 13:15,4/13/2024 20:15
C007,F185,Zayd Al-Harbi,Saudi Airlines,4/15/2024 21:20,4/16/2024 5:20
C008,F185,Laila Al-Mutairi,Saudi Airlines,4/15/2024 21:20,4/16/2024 5:20
C009,F185,Majed Al-Qutub,Saudi Airlines,4/15/2024 21:20,4/16/2024 5:20
C010,F139,Yasmin Al-Sudairy,Flynas Airlines,4/16/2024 18:47,4/16/2024 19:47
C011,F139,Khalid Al-Nashwan,Flynas Airlines,4/16/2024 18:47,4/16/2024 19:47
C012,F139,Mona Al-Saadi,Flynas Airlines,4/16/2024 18:47,4/16/2024 19:47
C013,F149,Saeed Al-Kahtani,Flynas Airlines,4/17/2024 5:39,4/17/2024 19:39
C014,F149,Dima Al-Ahmad,Flynas Airlines,4/17/2024 5:39,4/17/2024 19:39
C015,F149,Tariq Al-Johani,Flynas Airlines,4/17/2024 5:39,4/17/2024 19:39
C016,F166,Rania Al-Ghamdi,Flyadeal Airlines,4/20/2024 15:04,4/20/2024 17:04
C017,F166,Anas Al-Shahrani,Flyadeal Airlines,4/20/2024 15:04,4/20/2024 17:04
C018,F166,Samira Al-Salem,Flyadeal Airlines,4/20/2024 15:04,4/20/2024 17:04
C019,F178,Nabil Al-Qurashi,Flyadeal Airlines,4/21/2024 6:21,4/21/2024 13:21
C020,F178,Hala Al-Turki,Flyadeal Airlines,4/21/2024 6:21,4/21/2024 13:21
C021,F178,Zain Al-Otaibi,Flyadeal Airlines,4/21/2024 6:21,4/21/2024 13:21
C022,F184,Iman Al-Nasser,Saudi Airlines,4/21/2024 7:04,4/21/2024 15:04
C023,F184,Adel Al-Muhanna,Saudi Airlines,4/21/2024 7:04,4/21/2024 15:04
C024,F184,Nadia Al-Fayez,Saudi Airlines,4/21/2024 7:04,4/21/2024 15:04
C025,F179,Bilal Al-Ajmi,Flyadeal Airlines,4/22/2024 14:23,4/22/2024 21:23
C026,F179,Fadia Al-Sabah,Flyadeal Airlines,4/22/2024 14:23,4/22/2024 21:23
C027,F179,Yara Al-Faris,Flyadeal Airlines,4/22/2024 14:23,4/22/2024 21:23
C028,F111,Jamal Al-Mansour,Riyadh Air,4/25/2024 2:04,4/25/2024 12:04
C029,F111,Sawsan Al-Zahrani,Riyadh Air,4/25/2024 2:04,4/25/2024 12:04
C030,F111,Ibrahim Al-Khaldi,Riyadh Air,4/25/2024 2:04,4/25/2024 12:04
C001,F126,Fahad Al-Shammari,Saudi Airlines,4/25/2024 19:35,4/26/2024 4:35
C002,F126,Noura Al-Dosari,Saudi Airlines,4/25/2024 19:35,4/26/2024 4:35
C003,F126,Omar Al-Fahad,Saudi Airlines,4/25/2024 19:35,4/26/2024 4:35
C004,F195,Reem Al-Suwaidi,Saudi Airlines,4/27/2024 5:03,4/27/2024 17:03
C005,F195,Abdullah Al-Rashid,Saudi Airlines,4/27/2024 5:03,4/27/2024 17:03
C006,F195,Sara Al-Subaie,Saudi Airlines,4/27/2024 5:03,4/27/2024 17:03
