Crew ID,Flight ID,Crew Members Name,Airline,DepartureDateTime,ArrivalDateTime
C001,F116,Fahad Al-Shammari,SaudiGulf Airlines,2/1/2024 10:56,2/1/2024 12:56
C002,F116,Noura Al-Dosari,SaudiGulf Airlines,2/1/2024 10:56,2/1/2024 12:56
C003,F116,Omar Al-Fahad,SaudiGulf Airlines,2/1/2024 10:56,2/1/2024 12:56
C004,F133,Reem Al-Suwaidi,Flyadeal Airlines,2/1/2024 16:08,2/2/2024 6:08
C005,F133,Abdullah Al-Rashid,Flyadeal Airlines,2/1/2024 16:08,2/2/2024 6:08
C006,F133,Sara Al-Subaie,Flyadeal Airlines,2/1/2024 16:08,2/2/2024 6:08
C007,F114,Zayd Al-Harbi,Saudi Airlines,2/1/2024 19:58,2/2/2024 3:58
C008,F114,Laila Al-Mutairi,Saudi Airlines,2/1/2024 19:58,2/2/2024 3:58
C009,F114,Majed Al-Qutub,Saudi Airlines,2/1/2024 19:58,2/2/2024 3:58
C010,F140,Yasmin Al-Sudairy,Flyadeal Airlines,2/3/2024 7:24,2/3/2024 8:24
C011,F140,Khalid Al-Nashwan,Flyadeal Airlines,2/3/2024 7:24,2/3/2024 8:24
C012,F140,Mona Al-Saadi,Flyadeal Airlines,2/3/2024 7:24,2/3/2024 8:24
C013,F122,Saeed Al-Kahtani,Flynas Airlines,2/4/2024 0:02,2/4/2024 2:02
C014,F122,Dima Al-Ahmad,Flynas Airlines,2/4/2024 0:02,2/4/2024 2:02
C015,F122,Tariq Al-Johani,Flynas Airlines,2/4/2024 0:02,2/4/2024 2:02
C016,F117,Rania Al-Ghamdi,Saudi Airlines,2/4/2024 13:14,2/5/2024 1:14
C017,F117,Anas Al-Shahrani,Saudi Airlines,2/4/2024 13:14,2/5/2024 1:14
C018,F117,Samira Al-Salem,Saudi Airlines,2/4/2024 13:14,2/5/2024 1:14
C019,F129,Nabil Al-Qurashi,SaudiGulf Airlines,2/5/2024 20:41,2/5/2024 21:41
C020,F129,Hala Al-Turki,SaudiGulf Airlines,2/5/2024 20:41,2/5/2024 21:41
C021,F129,Zain Al-Otaibi,SaudiGulf Airlines,2/5/2024 20:41,2/5/2024 21:41
C022,F160,Iman Al-Nasser,Riyadh Air,2/6/2024 18:31,2/6/2024 19:31
C023,F160,Adel Al-Muhanna,Riyadh Air,2/6/2024 18:31,2/6/2024 19:31
