Crew ID,Flight ID,Crew Members Name,Airline,DepartureDateTime,ArrivalDateTime
C001,F108,Fahad Al-Shammari,Riyadh Air,1/1/2024 7:33,1/1/2024 14:33
C002,F108,Noura Al-Dosari,Riyadh Air,1/1/2024 7:33,1/1/2024 14:33
C003,F108,Omar Al-Fahad,Riyadh Air,1/1/2024 7:33,1/1/2024 14:33
C004,F119,Reem Al-Suwaidi,Flyadeal Airlines,1/1/2024 19:38,1/2/2024 2:38
C005,F119,Abdullah Al-Rashid,Flyadeal Airlines,1/1/2024 19:38,1/2/2024 2:38
C006,F119,Sara Al-Subaie,Flyadeal Airlines,1/1/2024 19:38,1/2/2024 2:38
C007,F196,Zayd Al-Harbi,Riyadh Air,1/4/2024 8:28,1/4/2024 20:28
C008,F196,Laila Al-Mutairi,Riyadh Air,1/4/2024 8:28,1/4/2024 20:28
C009,F196,Majed Al-Qutub,Riyadh Air,1/4/2024 8:28,1/4/2024 20:28
C010,F101,Yasmin Al-Sudairy,Flyadeal Airlines,1/4/2024 8:46,1/4/2024 15:46
C011,F101,Khalid Al-Nashwan,Flyadeal Airlines,1/4/2024 8:46,1/4/2024 15:46
C012,F101,Mona Al-Saadi,Flyadeal Airlines,1/4/2024 8:46,1/4/2024 15:46
C013,F186,Saeed Al-Kahtani,Saudi Airlines,1/6/2024 0:17,1/6/2024 8:17
C014,F186,Dima Al-Ahmad,Saudi Airlines,1/6/2024 0:17,1/6/2024 8:17
C015,F186,Tariq Al-Johani,Saudi Airlines,1/6/2024 0:17,1/6/2024 8:17
C016,F172,Rania Al-Ghamdi,Flyadeal Airlines,1/7/2024 0:35,1/7/2024 6:35
C017,F172,Anas Al-Shahrani,Flyadeal Airlines,1/7/2024 0:35,1/7/2024 6:35
C018,F172,Samira Al-Salem,Flyadeal Airlines,1/7/2024 0:35,1/7/2024 6:35
C019,F123,Nabil Al-Qurashi,Flyadeal Airlines,1/7/2024 9:03,1/7/2024 16:03
C020,F123,Hala Al-Turki,Flyadeal Airlines,1/7/2024 9:03,1/7/2024 16:03
C021,F123,Zain Al-Otaibi,Flyadeal Airlines,1/7/2024 9:03,1/7/2024 16:03
C022,F192,Iman Al-Nasser,Saudi Airlines,1/8/2024 20:44,1/9/2024 5:44
C023,F192,Adel Al-Muhanna,Saudi Airlines,1/8/2024 20:44,1/9/2024 5:44
C024,F192,Nadia Al-Fayez,Saudi Airlines,1/8/2024 20:44,1/9/2024 5:44
C025,F194,Bilal Al-Ajmi,SaudiGulf Airlines,1/11/2024 4:36,1/11/2024 14:36
C026,F194,Fadia Al-Sabah,SaudiGulf Airlines,1/11/2024 4:36,1/11/2024 14:36
C027,F194,Yara Al-Faris,SaudiGulf Airlines,1/11/2024 4:36,1/11/2024 14:36
C028,F152,Jamal Al-Mansour,Saudi Airlines,1/17/2024 1:09,1/17/2024 2:09
C029,F152,Sawsan Al-Zahrani,Saudi Airlines,1/17/2024 1:09,1/17/2024 2:09
C030,F152,Ibrahim Al-Khaldi,Saudi Airlines,1/17/2024 1:09,1/17/2024 2:09
C001,F191,Fahad Al-Shammari,Saudi Airlines,1/17/2024 12:54,1/17/2024 21:54
C002,F191,Noura Al-Dosari,Saudi Airlines,1/17/2024 12:54,1/17/2024 21:54
C003,F191,Omar Al-Fahad,Saudi Airlines,1/17/2024 12:54,1/17/2024 21:54
C004,F181,Reem Al-Suwaidi,SaudiGulf Airlines,1/18/2024 0:47,1/18/2024 7:47
C005,F181,Abdullah Al-Rashid,SaudiGulf Airlines,1/18/2024 0:47,1/18/2024 7:47
C006,F181,Sara Al-Subaie,SaudiGulf Airlines,1/18/2024 0:47,1/18/2024 7:47
C007,F146,Zayd Al-Harbi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C008,F146,Laila Al-Mutairi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C009,F146,Majed Al-Qutub,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C010,F146,Yasmin Al-Sudairy,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C011,F146,Khalid Al-Nashwan,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C012,F146,Mona Al-Saadi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C013,F146,Saeed Al-Kahtani,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C014,F146,Dima Al-Ahmad,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C015,F146,Tariq Al-Johani,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C016,F146,Rania Al-Ghamdi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C017,F146,Anas Al-Shahrani,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C018,F146,Samira Al-Salem,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C019,F146,Nabil Al-Qurashi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C020,F146,Hala Al-Turki,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C021,F146,Zain Al-Otaibi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C022,F146,Iman Al-Nasser,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C023,F146,Adel Al-Muhanna,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C024,F146,Nadia Al-Fayez,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C025,F146,Bilal Al-Ajmi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C026,F146,Fadia Al-Sabah,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C027,F146,Yara Al-Faris,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C028,F146,Jamal Al-Mansour,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C029,F146,Sawsan Al-Zahrani,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C030,F146,Ibrahim Al-Khaldi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C001,F146,Fahad Al-Shammari,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C002,F146,Noura Al-Dosari,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C003,F146,Omar Al-Fahad,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C004,F146,Reem Al-Suwaidi,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C005,F146,Abdullah Al-Rashid,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C006,F146,Sara Al-Subaie,Saudi Airlines,1/18/2024 18:06,1/18/2024 20:06
C007,F124,Zayd Al-Harbi,SaudiGulf Airlines,1/19/2024 9:56,1/19/2024 11:56
C008,F124,Laila Al-Mutairi,SaudiGulf Airlines,1/19/2024 9:56,1/19/2024 11:56
C009,F124,Majed Al-Qutub,SaudiGulf Airlines,1/19/2024 9:56,1/19/2024 11:56
C010,F144,Yasmin Al-Sudairy,Flynas Airlines,1/19/2024 22:11,1/20/2024 0:11
C011,F144,Khalid Al-Nashwan,Flynas Airlines,1/19/2024 22:11,1/20/2024 0:11
C012,F144,Mona Al-Saadi,Flynas Airlines,1/19/2024 22:11,1/20/2024 0:11
C013,F180,Saeed Al-Kahtani,Flynas Airlines,1/20/2024 22:43,1/21/2024 5:43
C014,F180,Dima Al-Ahmad,Flynas Airlines,1/20/2024 22:43,1/21/2024 5:43
C015,F180,Tariq Al-Johani,Flynas Airlines,1/20/2024 22:43,1/21/2024 5:43
C016,F142,Rania Al-Ghamdi,SaudiGulf Airlines,1/21/2024 18:49,1/22/2024 2:49
C017,F142,Anas Al-Shahrani,SaudiGulf Airlines,1/21/2024 18:49,1/22/2024 2:49
C018,F142,Samira Al-Salem,SaudiGulf Airlines,1/21/2024 18:49,1/22/2024 2:49
C019,F163,Nabil Al-Qurashi,Flyadeal Airlines,1/23/2024 5:29,1/23/2024 6:29
C020,F163,Hala Al-Turki,Flyadeal Airlines,1/23/2024 5:29,1/23/2024 6:29
C021,F163,Zain Al-Otaibi,Flyadeal Airlines,1/23/2024 5:29,1/23/2024 6:29
C022,F100,Iman Al-Nasser,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C023,F100,Adel Al-Muhanna,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C024,F100,Nadia Al-Fayez,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C025,F100,Bilal Al-Ajmi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C026,F100,Fadia Al-Sabah,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
