Crew ID,Flight ID,Crew Members Name,Airline,DepartureDateTime,ArrivalDateTime
C001,F113,Fahad Al-Shammari,Flynas Airlines,3/1/2024 9:15,3/1/2024 10:15
C002,F113,Noura Al-Dosari,Flynas Airlines,3/1/2024 9:15,3/1/2024 10:15
C003,F113,Omar Al-Fahad,Flynas Airlines,3/1/2024 9:15,3/1/2024 10:15
C004,F170,Reem Al-Suwaidi,Flynas Airlines,3/3/2024 17:50,3/3/2024 19:50
C005,F170,Abdullah Al-Rashid,Flynas Airlines,3/3/2024 17:50,3/3/2024 19:50
C006,F170,Sara Al-Subaie,Flynas Airlines,3/3/2024 17:50,3/3/2024 19:50
C007,F169,Zayd Al-Harbi,SaudiGulf Airlines,3/3/2024 23:56,3/4/2024 1:56
C008,F169,Laila Al-Mutairi,SaudiGulf Airlines,3/3/2024 23:56,3/4/2024 1:56
C009,F169,Majed Al-Qutub,SaudiGulf Airlines,3/3/2024 23:56,3/4/2024 1:56
C010,F155,Yasmin Al-Sudairy,SaudiGulf Airlines,3/4/2024 14:39,3/4/2024 15:39
C011,F155,Khalid Al-Nashwan,SaudiGulf Airlines,3/4/2024 14:39,3/4/2024 15:39
C012,F155,Mona Al-Saadi,SaudiGulf Airlines,3/4/2024 14:39,3/4/2024 15:39
C013,F171,Saeed Al-Kahtani,Saudi Airlines,3/8/2024 14:25,3/8/2024 16:25
C014,F171,Dima Al-Ahmad,Saudi Airlines,3/8/2024 14:25,3/8/2024 16:25
C015,F171,Tariq Al-Johani,Saudi Airlines,3/8/2024 14:25,3/8/2024 16:25
C016,F137,Rania Al-Ghamdi,Flyadeal Airlines,3/10/2024 4:59,3/10/2024 10:59
C017,F137,Anas Al-Shahrani,Flyadeal Airlines,3/10/2024 4:59,3/10/2024 10:59
C018,F137,Samira Al-Salem,Flyadeal Airlines,3/10/2024 4:59,3/10/2024 10:59
C019,F193,Nabil Al-Qurashi,SaudiGulf Airlines,3/11/2024 8:47,3/11/2024 18:47
C020,F193,Hala Al-Turki,SaudiGulf Airlines,3/11/2024 8:47,3/11/2024 18:47
C021,F193,Zain Al-Otaibi,SaudiGulf Airlines,3/11/2024 8:47,3/11/2024 18:47
C022,F121,Iman Al-Nasser,Saudi Airlines,3/11/2024 21:52,3/11/2024 22:52
C023,F121,Adel Al-Muhanna,Saudi Airlines,3/11/2024 21:52,3/11/2024 22:52
C024,F121,Nadia Al-Fayez,Saudi Airlines,3/11/2024 21:52,3/11/2024 22:52
C025,F175,Bilal Al-Ajmi,Riyadh Air,3/14/2024 6:02,3/14/2024 13:02
C026,F175,Fadia Al-Sabah,Riyadh Air,3/14/2024 6:02,3/14/2024 13:02
C027,F175,Yara Al-Faris,Riyadh Air,3/14/2024 6:02,3/14/2024 13:02
C028,F151,Jamal Al-Mansour,Flynas Airlines,3/19/2024 14:49,3/19/2024 15:49
C029,F151,Sawsan Al-Zahrani,Flynas Airlines,3/19/2024 14:49,3/19/2024 15:49
C030,F151,Ibrahim Al-Khaldi,Flynas Airlines,3/19/2024 14:49,3/19/2024 15:49
C001,F127,Fahad Al-Shammari,Riyadh Air,3/21/2024 2:07,3/21/2024 3:07
C002,F127,Noura Al-Dosari,Riyadh Air,3/21/2024 2:07,3/21/2024 3:07
C003,F127,Omar Al-Fahad,Riyadh Air,3/21/2024 2:07,3/21/2024 3:07
C004,F154,Reem Al-Suwaidi,Riyadh Air,3/22/2024 21:38,3/23/2024 7:38
C005,F154,Abdullah Al-Rashid,Riyadh Air,3/22/2024 21:38,3/23/2024 7:38
C006,F154,Sara Al-Subaie,Riyadh Air,3/22/2024 21:38,3/23/2024 7:38
C007,F159,Zayd Al-Harbi,Flynas Airlines,3/23/2024 13:02,3/23/2024 14:02
C008,F159,Laila Al-Mutairi,Flynas Airlines,3/23/2024 13:02,3/23/2024 14:02
C009,F159,Majed Al-Qutub,Flynas Airlines,3/23/2024 13:02,3/23/2024 14:02
C010,F199,Yasmin Al-Sudairy,Flyadeal Airlines,3/24/2024 14:11,3/25/2024 4:11
C011,F199,Khalid Al-Nashwan,Flyadeal Airlines,3/24/2024 14:11,3/25/2024 4:11
C012,F199,Mona Al-Saadi,Flyadeal Airlines,3/24/2024 14:11,3/25/2024 4:11
C013,F183,Saeed Al-Kahtani,SaudiGulf Airlines,3/27/2024 3:00,3/27/2024 11:00
C014,F183,Dima Al-Ahmad,SaudiGulf Airlines,3/27/2024 3:00,3/27/2024 11:00
C015,F183,Tariq Al-Johani,SaudiGulf Airlines,3/27/2024 3:00,3/27/2024 11:00
C016,F165,Rania Al-Ghamdi,Saudi Airlines,3/31/2024 22:03,3/31/2024 23:03
C017,F165,Anas Al-Shahrani,Saudi Airlines,3/31/2024 22:03,3/31/2024 23:03
C018,F165,Samira Al-Salem,Saudi Airlines,3/31/2024 22:03,3/31/2024 23:03
